Report Written :   Sunday, July 13, 2014  17:14,,,
Design Title   :,,,,,
Created        :   6/07/2014 9:39:31 PM,,,,,
Last Saved     :   10/07/2014 7:46:33 PM,,,,,
Editing Time   :   1977 min,,,,,
Units          :   mm (precision 2),,,,,
,,,,,
Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,
--------------------------------------------------------------------------,,,,,
,,,,,
,,,,,
Ref Name,Qty,Component,Value,Package,Description
C01,1,Cap,100n,805,Capacitor
C02,1,Cap,2.2uF,805,Capacitor
C03,1,Cap,22n,805,Capacitor
C04,1,Cap,100n,805,Capacitor
C05,1,Cap,100n,805,Capacitor
C06,1,Cap,1uF,805,Capacitor
C07,1,Capacritor_Pol,10uF,C1206POL,
C08,1,Cap,100nF,805,Capacitor
C09,1,Cap,100n,805,Capacitor
C10,1,Cap,100n,805,Capacitor
C11,1,Cap,100n,805,Capacitor
C12,1,Cap,100n,805,Capacitor
C13,1,Cap,100nF,805,Capacitor
C14,1,Capacritor_Pol,10uF,C1206POL,
C15,1,Cap,100n,805,Capacitor
C16,1,Cap,100n,805,Capacitor
C17,1,Cap,100nF,805,Capacitor
C18,1,Capacritor_Pol,10uF,C1206POL,
C19,1,Cap,1uF,805,Capacitor
C20,1,Cap,22p,805,Capacitor
C21,1,Cap,22p,805,Capacitor
C22,1,Cap,100n,805,Capacitor
C23,1,Cap,100n,805,Capacitor
C24,1,Cap,100n,805,Capacitor
C25,1,Cap,100n,805,Capacitor
CONN1,1,ICSP-6,,DIL,
D1,1,1N4001,,DIOD05,
D2,1,1N4001,,DIOD05,
D3,1,CD1206-S01575,,D1206,
ENC1,1,ROTARY-ENCV,,DIP-5,
FAN1,1,EB50100S2-0000-A99,,DIL,
FS1,1,MF-MSMF050-2,500mA,1812,
IMAGE1,1,Open Source Logo,,DIL,
IMAGE2,1,Made By,,DIL,
J1,1,USB-B,,DIL,
L1,1,74279206-Ferrite Bead,,805,
LCD1,1,HD44780 20x4 LCD,,DIL,
LED1,1,LED,TX Red,D0805,Light Em Di
LED2,1,LED,RX Green,D0805,Light Em Di
LED3,1,LED,Pwr Green,D0805,Light Em Di
M1,1,BUK954R8-60E,,DSC,
PL1,1,CONN_SIL_2,,DIP,2 way Pin Header
PL2,1,CONN_SIL_2,,DSC,2 way Pin Header
R01,1,Resistor,1R0,2512,Resistor
R02,1,Resistor,1R0,2512,Resistor
R03,1,Resistor,1R0,2512,Resistor
R04,1,Resistor,1R0,2512,Resistor
R05,1,Resistor,1R0,2512,Resistor
R06,1,Resistor,1R0,2512,Resistor
R07,1,Resistor,1R0,2512,Resistor
R08,1,Resistor,1R0,2512,Resistor
R09,1,Resistor,1R0,2512,Resistor
R10,1,Resistor,1R0,2512,Resistor
R11,1,Resistor,220k,805,Resistor
R12,1,Resistor,10K,805,Resistor
R13,1,Resistor,10K,805,Resistor
R14,1,Resistor,2R2,805,Resistor
R15,1,Resistor,470R,805,Resistor
R16,1,Resistor,1K,805,Resistor
R17,1,Resistor,10K,805,Resistor
R18,1,Resistor,15K,805,Resistor
R19,1,Resistor,10K,805,Resistor
R20,1,Resistor,10K,805,Resistor
R21,1,Resistor,10K,805,Resistor
R22,1,Resistor,10K,805,Resistor
R23,1,Resistor,22R,805,Resistor
R24,1,Resistor,22R,805,Resistor
R25,1,Resistor,560R,805,Resistor
R26,1,Resistor,10K,805,Resistor
R27,1,Resistor,470R,805,Resistor
R28,1,Resistor,470R,805,Resistor
R29,1,Resistor,470R,805,Resistor
R30,1,Resistor,10K,805,Resistor
R31,1,R_POT,10k,pot2,Potentiometer
R32,1,Resistor,10K,805,Resistor
RL1,1,G6RN-1 5DC,,DIL,
SW1,1,Pushbutton,,DISC,
TP1,1,Test Point,,DIL,
TP10,1,Test Point,,DIL,
TP2,1,Test Point,,DIL,
TP3,1,Test Point,,DIL,
TP4,1,Test Point,,DIL,
TP5,1,Test Point,,DIL,
TP6,1,Test Point,,DIL,
TP7,1,Test Point,,DIL,
TP8,1,Test Point,,DIL,
TP9,1,Test Point,,DIL,
U1,1,ADR380ARTZ,,SOT23,
U2,1,LM324,,SO14,Quad Op Amp
U3,1,MCP3204-CI/SL,,SOIC14-N_MC,
U4,1,MCP4922-E/SL,,SOIC14-N_MC,
U5,1,P2N2222,,TO92,
U6,1,LM94022BIMG,,MAA05A,
U7,1,LM94022BIMG,,MAA05A,
U8,1,ATmega32U4-AU,,TQFP44,
XTAL1,1,AT-16.000MAGE-T,,HC-49S,
Z1,1,CG0603MLC-05E,,603,
Z2,1,CG0603MLC-05E,,603,
